link_id;demand_ab;demand_ba;demand_tot;Preload_AB;Preload_BA;Preload_tot;Congested_Time_AB;Congested_Time_BA;Congested_Time_Max;Delay_factor_AB;Delay_factor_BA;Delay_factor_Max;VOC_AB;VOC_BA;VOC_max;PCE_AB;PCE_BA;PCE_tot
125;2437.680000000002;901.0680000000004;3338.7480000000023;0.0;0.0;0.0;251.53569002438164;125.32659347276417;251.53569002438164;2.0462440459429385;1.0195324395798344;2.0462440459429385;1.6251200000000015;0.6007120000000002;1.6251200000000015;2437.680000000002;901.0680000000004;3338.7480000000023
126;1321.1200000000013;1675.0840000000007;2996.204000000002;0.0;0.0;0.0;85.9511555227233;110.54305698784432;110.54305698784432;1.2203613091767191;1.569524794933299;1.569524794933299;1.1009333333333344;1.395903333333334;1.395903333333334;1321.1200000000013;1675.0840000000007;2996.204000000002
127;0.0;0.0;0.0;0.0;0.0;0.0;153.6896607418441;153.6896607418441;153.6896607418441;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
128;263.0800000000001;1692.568000000001;1955.648000000001;0.0;0.0;0.0;38.32326002656718;38.50744044928971;38.50744044928971;1.0000028067428597;1.0048087898335971;1.0048087898335971;0.06577000000000002;0.42314200000000024;0.42314200000000024;263.0800000000001;1692.568000000001;1955.648000000001
129;1720.4040000000005;3037.764000000003;4758.168000000003;0.0;0.0;0.0;49.09030942870859;51.276525523330434;51.276525523330434;1.0051330213220142;1.0498961938100853;1.0498961938100853;0.4301010000000001;0.7594410000000007;0.7594410000000007;1720.4040000000005;3037.764000000003;4758.168000000003
130;1720.4040000000005;3037.764000000003;4758.168000000003;0.0;0.0;0.0;52.700444875112645;55.04743681956194;55.04743681956194;1.0051330213220142;1.0498961938100853;1.0498961938100853;0.4301010000000001;0.7594410000000007;0.7594410000000007;1720.4040000000005;3037.764000000003;4758.168000000003
131;1216.5120000000009;658.4760000000003;1874.9880000000012;0.0;0.0;0.0;86.61587444233685;86.51439473402255;86.61587444233685;1.0012832665763471;1.0001101567453103;1.0012832665763471;0.30412800000000023;0.1646190000000001;0.30412800000000023;1216.5120000000009;658.4760000000003;1874.9880000000012
132;0.0;0.0;0.0;0.0;0.0;0.0;165.88840288790018;165.88840288790018;165.88840288790018;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
133;3260.0320000000033;501.9760000000004;3762.008000000004;0.0;0.0;0.0;291.26789258063104;67.13540458032621;291.26789258063104;4.346676044747403;1.0018812999203002;4.346676044747403;2.1733546666666688;0.33465066666666693;2.1733546666666688;3260.0320000000033;501.9760000000004;3762.008000000004
134;1039.0360000000003;3.2000000000000046;1042.2360000000003;0.0;0.0;0.0;327.1872479802687;229.31079990698382;327.1872479802687;1.4268287761655833;1.0000000000384;1.4268287761655833;1.2987950000000004;0.004000000000000006;1.2987950000000004;1039.0360000000003;3.2000000000000046;1042.2360000000003
135;1458.964000000002;1324.9040000000007;2783.8680000000027;0.0;0.0;0.0;161.70774075669274;129.42834229164833;161.70774075669274;2.6592415486877448;2.128415274303964;2.6592415486877448;1.8237050000000026;1.6561300000000008;1.8237050000000026;1458.964000000002;1324.9040000000007;2783.8680000000027
